u,g,r,i,z,class
19.56206,18.75001,18.20192,17.8111,17.64477,GALAXY
19.3243,17.920820000000003,17.45204,17.1862,17.06619,GALAXY
17.91052,16.694000000000003,16.152639999999998,15.79403,15.53948,GALAXY
17.675320000000003,16.92334,16.27384,16.48379,16.47229,GALAXY
19.560389999999998,18.09561,17.44312,17.06243,16.79178,GALAXY
19.29946,19.07285,18.98745,18.825870000000002,18.8278,QSO
19.29747,18.10758,17.43113,16.98686,16.75316,GALAXY
19.44506,18.17203,17.43005,17.01131,16.761470000000003,GALAXY
17.78789,16.46254,15.979470000000001,15.737770000000001,15.62638,GALAXY
18.90616,17.562839999999998,16.97766,16.623929999999998,16.3825,GALAXY
18.85795,17.09106,16.23506,15.804689999999999,15.484720000000001,GALAXY
19.58419,18.264960000000002,17.47204,17.03755,16.77749,GALAXY
18.4355,17.000239999999998,16.252110000000002,15.77256,15.4412,GALAXY
18.922810000000002,18.46009,17.81298,17.44642,17.16161,QSO
19.10984,17.28652,16.39256,15.99051,15.67695,GALAXY
18.25408,17.2802,16.8385,16.539360000000002,16.3627,GALAXY
18.91468,16.90195,15.987520000000002,15.513470000000002,15.15435,GALAXY
18.90161,16.807920000000003,15.898370000000002,15.4545,15.110520000000001,GALAXY
18.38798,17.03145,16.36942,15.96403,15.63615,GALAXY
17.84446,16.44266,15.795160000000001,15.43682,15.2163,GALAXY
18.7901,17.67011,17.25512,16.97505,16.823710000000002,GALAXY
17.21237,15.264679999999998,14.25443,13.70335,13.2072,GALAXY
18.79423,17.28567,16.62537,16.255,16.0322,GALAXY
18.980520000000002,17.12428,16.30809,15.91395,15.621070000000001,GALAXY
18.438860000000002,16.883879999999998,16.10867,15.6576,15.339160000000001,GALAXY
18.472070000000002,17.13261,16.56864,16.228820000000002,15.991129999999998,GALAXY
18.61709,16.69235,15.87965,15.35074,15.00859,GALAXY
19.23666,17.39386,16.42371,15.994810000000001,15.653789999999999,GALAXY
18.772579999999998,17.69614,17.23195,16.87226,16.72392,GALAXY
19.34307,18.22257,17.39085,16.94256,16.64116,GALAXY
18.60525,17.66995,16.56619,16.103260000000002,16.30663,GALAXY
18.75297,17.56156,17.09272,16.78914,16.6303,GALAXY
19.07722,17.9458,17.55769,17.50524,17.17613,GALAXY
19.356370000000002,17.82188,16.81011,16.33855,15.970999999999998,GALAXY
18.32272,16.97079,16.4332,16.1428,15.89305,GALAXY
18.302570000000003,16.35654,15.3699,14.9014,14.561779999999999,GALAXY
19.41861,18.04596,17.303160000000002,16.92856,16.60953,GALAXY
19.19812,17.27151,16.23584,15.77029,15.41235,GALAXY
19.52351,17.37708,16.269660000000002,15.81715,15.431189999999999,GALAXY
19.58396,18.59425,18.22992,17.892310000000002,17.79278,GALAXY
19.45873,18.87266,18.72718,18.68669,18.48572,QSO
18.43597,17.47617,17.10257,16.90971,16.82976,GALAXY
17.33959,15.961120000000001,15.33417,15.00056,14.68224,GALAXY
19.3636,17.4591,16.33274,15.85404,15.462270000000002,GALAXY
16.55472,15.026060000000001,14.26585,13.87919,13.58745,GALAXY
18.716379999999997,16.706139999999998,15.805010000000001,15.3576,15.024000000000001,GALAXY
19.350620000000003,17.90006,17.33493,16.98621,16.73307,GALAXY
19.51105,17.74484,16.81135,16.343729999999997,15.99194,GALAXY
18.55262,16.74996,15.76116,15.318129999999998,14.9128,GALAXY
19.476670000000002,18.0941,17.47774,17.10652,16.86063,GALAXY
16.62952,14.883389999999999,14.55241,14.572379999999999,15.26632,GALAXY
19.23238,18.95228,18.877660000000002,18.75659,18.59261,QSO
17.81308,16.43679,15.7192,15.27519,15.026079999999999,GALAXY
18.79712,17.57294,17.00773,16.61176,16.41561,GALAXY
19.22634,18.23303,17.86394,17.67945,17.57141,GALAXY
19.25539,17.495810000000002,16.57381,16.1535,15.863979999999998,GALAXY
19.48145,17.9373,17.10681,16.61594,16.26279,GALAXY
19.54261,18.35418,17.60875,17.17249,16.914460000000002,GALAXY
19.06174,17.932920000000003,17.3376,16.95094,16.72832,GALAXY
18.535320000000002,17.12586,16.3757,15.99479,15.744029999999999,GALAXY
17.103460000000002,16.516679999999997,16.02388,15.476939999999999,15.33908,QSO
19.43038,17.85661,16.87195,16.407020000000003,16.06745,GALAXY
19.1659,17.71676,17.13951,16.81476,16.52226,GALAXY
19.51894,17.58536,16.68261,16.26014,15.891370000000002,GALAXY
18.86495,17.08751,16.262,15.8624,15.534239999999999,GALAXY
18.842010000000002,17.80176,17.31182,16.96789,16.78849,GALAXY
19.579629999999998,18.111439999999998,17.351960000000002,16.92867,16.63787,GALAXY
19.23865,19.0985,18.7928,18.79332,18.918429999999997,QSO
19.21053,17.37301,16.43025,15.979270000000001,15.654710000000001,GALAXY
18.83097,17.58667,17.017689999999998,16.66897,16.45337,GALAXY
19.47855,18.20672,17.52796,17.146910000000002,16.85741,GALAXY
19.15298,17.89548,17.35895,17.05361,16.77841,GALAXY
19.45799,18.08139,17.368779999999997,16.95204,16.636789999999998,GALAXY
19.488220000000002,17.8001,16.84131,16.39425,16.01081,GALAXY
19.17114,18.21712,17.795820000000003,17.37146,17.215020000000003,GALAXY
18.88637,17.070120000000003,16.19314,15.798,15.48205,GALAXY
