Table name: /Users/melissajosefina/Desktop/pm_M28.csv
+++++++
 source_id              ra               dec               phot_g_mean_mag    phot_bp_mean_mag    phot_rp_mean_mag   
 4077238365696785280    276.125077406    24.7836779019    19.608814          19.497072           18.548418          
 4077238365696798208    276.120072954    24.7843311804    18.849522          18.548136           17.670124          
 4077239563965908864    276.053030265    24.7429929566    18.144712          18.447248           17.445948          
 4077239357774234624    276.067057197    24.7568601733    16.806585          17.33053            15.954025          
 4077238773775176576    276.018079038    24.8082483333    19.42225           20.127554           18.386105          
 4077239018532136064    276.006752855    24.7953509426    18.85065           18.809372           17.597937          
 4077238812329762560    276.018281589    24.8069864488    16.203018          16.797003           15.394016          
 4077240560480851328    275.94293488     24.7934116768    18.682156          18.852404           17.48443           
 4077242076549034624    275.969429305    24.7744369025    16.427162          17.13431            15.4551            
 4077242896927817472    275.986547912    24.7145798435    18.98146           19.223242           18.13518           
 4077242420102632064    275.972672718    24.7376085191    18.288027          18.533928           17.162783          
 4077243309246777472    275.945554691    24.7007891798    18.762146          18.77629            17.338821          
 4077239636963641344    276.034691393    24.7401526399    18.627062          18.306091           17.124674          
 4077239735764613504    276.052679342    24.7363916046    18.430216          18.78109            17.363955          
 4077243107297501696    275.936147766    24.7391225892    19.562025          19.138338           18.2877            
 4077242381549662464    275.956474455    24.7437794072    18.021244          18.673117           17.024336          
 4077241629828789504    275.914622712    24.7476092461    19.217607          18.963621           17.983353          
 4077243107341426048    275.926876319    24.7410038936    18.174847          18.612604           17.466217          
 4077237571184040704    275.97324036     24.7996586997    18.223547          18.353758           16.971394          
 4077237571067549312    275.974232714    24.8063458254    16.812479          17.496655           15.851233          
 4077240530316860672    275.972726803    24.7900825184    18.266754          18.728697           17.59522           
 4077241458072925440    275.885635518    24.7811099858    18.553152          18.238604           17.19484           
 4077240697919392896    275.899613607    24.7935233728    18.80514           18.965008           17.939241          
 4077240770878043392    275.931048548    24.7797682031    19.057379          19.306683           17.846039          
 4077240216880007936    275.888924247    24.8190671952    19.301588          19.073153           17.999416          
 4077236987062048384    275.92266376     24.8584024781    18.829393          18.983845           17.786524          
 4077238224020066560    276.097493237    24.8083884487    17.51076           18.12331            16.52259           
 4077238159538286720    276.106909108    24.8185780738    15.168462          15.911058           14.283481          
